Dye/Sample Peak	Sample File Name	Size	Height	Area	Data Point	
"Y,1"	1_2_240_HpyCH4IV_2005-11-28.fsa	109.4	1067	8712	3436	
"B,3"	1_2_241_BsuRI_2005-11-28.fsa	138.5	1250	10290	3874	
"B,4"	1_2_241_BsuRI_2005-11-28.fsa	231.93	8222	111458	5062	
"B,9"	1_2_241_HpyCH4IV_2005-11-28.fsa	588.5	1599	36700	9120	
"B,10"	1_2_241_HpyCH4IV_2005-11-28.fsa	623.12	8005	71122	9457	
"B,11"	1_2_241_HpyCH4IV_2005-11-28.fsa	623.65	8040	134839	9462	
"B,12"	1_2_241_HpyCH4IV_2005-11-28.fsa	740.73	7740	191997	10509	
"Y,1"	1_2_241_BsuRI_2005-11-28.fsa	90.54	546	4432	3232	
"Y,2"	1_2_241_BsuRI_2005-11-28.fsa	204.02	5857	55176	4710	
"Y,3"	1_2_241_BsuRI_2005-11-28.fsa	231.93	1806	6660	5062	
"Y,4"	1_2_241_BsuRI_2005-11-28.fsa	447.77	165	1649	7594	
"Y,2"	1_2_241_HpyCH4IV_2005-11-28.fsa	109.38	6143	57840	3503	
"Y,3"	1_2_241_HpyCH4IV_2005-11-28.fsa	588.81	775	16371	9123	
"Y,4"	1_2_241_HpyCH4IV_2005-11-28.fsa	623.65	661	2981	9462	
"Y,5"	1_2_241_HpyCH4IV_2005-11-28.fsa	734.25	3484	74888	10454	
"B,2"	1_2_243_BsuRI_2005-09-16.fsa	132.32	283	2005	3672	
"B,3"	1_2_243_BsuRI_2005-09-16.fsa	258.07	60	460	5249	
"B,4"	1_2_243_BsuRI_2005-09-16.fsa	258.48	60	567	5254	
"B,5"	1_2_243_BsuRI_2005-09-16.fsa	277.79	8144	111579	5489	
"B,2"	1_2_243_HpyCH4IV_2006-01-25.fsa	226.76	7809	95884	5181	
"Y,2"	1_2_243_BsuRI_2005-09-16.fsa	151.03	104	694	3915	
"G,1"	1_2_243_BsuRI_2005-09-16.fsa	277.7	2113	6248	5488	
"Y,3"	1_2_243_BsuRI_2005-09-16.fsa	277.87	1129	3533	5490	
"G,2"	1_2_243_BsuRI_2005-09-16.fsa	278.03	2299	10910	5492	
"G,3"	1_2_243_BsuRI_2005-09-16.fsa	437.61	104	850	7341	
"Y,4"	1_2_243_BsuRI_2005-09-16.fsa	437.98	6710	78558	7345	
"Y,2"	1_2_243_HpyCH4IV_2006-01-25.fsa	107.32	2792	26340	3560	
"G,1"	1_2_243_HpyCH4IV_2006-01-25.fsa	226.83	929	3287	5182	
"Y,3"	1_2_243_HpyCH4IV_2006-01-25.fsa	488.44	67	909	8424	
"B,2"	1_2_244_BsuRI_2005-11-28.fsa	258.63	586	13368	5405	
"B,3"	1_2_244_BsuRI_2005-11-28.fsa	277.5	7942	110626	5637	
"B,9"	1_2_244_HpyCH4IV_2005-11-28.fsa	226.56	7911	108535	4975	
"B,10"	1_2_244_HpyCH4IV_2005-11-28.fsa	609.81	3216	59286	9274	
"B,11"	1_2_244_HpyCH4IV_2005-11-28.fsa	724.61	7962	139811	10325	
"B,12"	1_2_244_HpyCH4IV_2005-11-28.fsa	725.87	7842	106256	10336	
"Y,1"	1_2_244_BsuRI_2005-11-28.fsa	277.75	366	688	5640	
"Y,2"	1_2_244_BsuRI_2005-11-28.fsa	404.66	96	1747	7135	
"Y,3"	1_2_244_BsuRI_2005-11-28.fsa	437.65	6131	79503	7507	
"Y,2"	1_2_244_HpyCH4IV_2005-11-28.fsa	107.15	3252	29494	3437	
"Y,3"	1_2_244_HpyCH4IV_2005-11-28.fsa	488.31	2171	32901	8023	
"Y,4"	1_2_244_HpyCH4IV_2005-11-28.fsa	721.28	5220	111198	10296	
"B,3"	1_2_246_BsuRI_2005-09-16.fsa	129.47	81	415	3654	
"B,4"	1_2_246_BsuRI_2005-09-16.fsa	132.66	237	1769	3696	
"B,5"	1_2_246_BsuRI_2005-09-16.fsa	232.19	539	4420	4954	
"B,6"	1_2_246_BsuRI_2005-09-16.fsa	233.47	433	3415	4970	
"B,7"	1_2_246_BsuRI_2005-09-16.fsa	277.86	2232	20677	5515	
"B,8"	1_2_246_BsuRI_2005-09-16.fsa	283.99	247	1757	5589	
"B,9"	1_2_246_BsuRI_2005-09-16.fsa	479.13	8063	133894	7790	
"B,2"	1_2_246_HpyCH4IV_2005-11-28.fsa	226.71	924	7518	5003	
"B,3"	1_2_246_HpyCH4IV_2005-11-28.fsa	392.06	6606	77972	6973	
"B,4"	1_2_246_HpyCH4IV_2005-11-28.fsa	624.54	340	5514	9394	
"Y,2"	1_2_246_BsuRI_2005-09-16.fsa	78.2	88	590	2969	
"G,1"	1_2_246_BsuRI_2005-09-16.fsa	84.75	62	358	3060	
"Y,3"	1_2_246_BsuRI_2005-09-16.fsa	85.04	5258	44303	3064	
"Y,4"	1_2_246_BsuRI_2005-09-16.fsa	126.06	77	416	3609	
"Y,5"	1_2_246_BsuRI_2005-09-16.fsa	202.94	172	1196	4588	
"Y,6"	1_2_246_BsuRI_2005-09-16.fsa	204.21	204	1392	4604	
"Y,7"	1_2_246_BsuRI_2005-09-16.fsa	438.15	1015	11363	7365	
"G,2"	1_2_246_BsuRI_2005-09-16.fsa	479.41	1932	12205	7793	
"Y,8"	1_2_246_BsuRI_2005-09-16.fsa	568.79	261	3245	8713	
"Y,2"	1_2_246_HpyCH4IV_2005-11-28.fsa	106.06	98	547	3453	
"Y,3"	1_2_246_HpyCH4IV_2005-11-28.fsa	107.12	451	3488	3467	
"Y,4"	1_2_246_HpyCH4IV_2005-11-28.fsa	109.37	97	545	3497	
"Y,5"	1_2_246_HpyCH4IV_2005-11-28.fsa	167.92	2913	25445	4263	
"B,5"	1_2_247_BsuRI_2005-11-28.fsa	83.32	645	4833	3134	
"B,6"	1_2_247_BsuRI_2005-11-28.fsa	129.26	238	1727	3754	
"B,7"	1_2_247_BsuRI_2005-11-28.fsa	130.46	884	7504	3770	
"B,8"	1_2_247_BsuRI_2005-11-28.fsa	131.88	2605	26428	3789	
"B,9"	1_2_247_BsuRI_2005-11-28.fsa	147.27	81	364	3993	
"B,10"	1_2_247_BsuRI_2005-11-28.fsa	233.21	1468	13763	5082	
"B,11"	1_2_247_BsuRI_2005-11-28.fsa	479.75	1335	18682	7935	
"B,11"	1_2_247_HpyCH4IV_2005-11-28.fsa	258.94	176	1379	5436	
"B,12"	1_2_247_HpyCH4IV_2005-11-28.fsa	392.11	621	7555	7031	
"B,13"	1_2_247_HpyCH4IV_2005-11-28.fsa	568.14	2045	44317	8925	
"B,14"	1_2_247_HpyCH4IV_2005-11-28.fsa	590.13	347	6754	9144	
"B,15"	1_2_247_HpyCH4IV_2005-11-28.fsa	592.76	475	10388	9170	
"B,16"	1_2_247_HpyCH4IV_2005-11-28.fsa	595.92	766	19312	9201	
"B,17"	1_2_247_HpyCH4IV_2005-11-28.fsa	600.51	3081	74756	9246	
"B,18"	1_2_247_HpyCH4IV_2005-11-28.fsa	625.16	1872	41091	9485	
"B,19"	1_2_247_HpyCH4IV_2005-11-28.fsa	739.05	1041	23235	10503	
"Y,2"	1_2_247_BsuRI_2005-11-28.fsa	79.07	172	1537	3074	
"Y,3"	1_2_247_BsuRI_2005-11-28.fsa	84.89	770	6202	3156	
"Y,4"	1_2_247_BsuRI_2005-11-28.fsa	152.09	197	1412	4056	
"Y,5"	1_2_247_BsuRI_2005-11-28.fsa	156.14	1001	9507	4108	
"Y,6"	1_2_247_BsuRI_2005-11-28.fsa	164.18	305	2349	4211	
"Y,7"	1_2_247_BsuRI_2005-11-28.fsa	176.13	72	402	4363	
"Y,8"	1_2_247_BsuRI_2005-11-28.fsa	202.68	657	5702	4697	
"Y,9"	1_2_247_BsuRI_2005-11-28.fsa	447.59	182	2377	7603	
"Y,10"	1_2_247_BsuRI_2005-11-28.fsa	568.56	64	689	8856	
"Y,3"	1_2_247_HpyCH4IV_2005-11-28.fsa	106.12	1028	8966	3460	
"Y,4"	1_2_247_HpyCH4IV_2005-11-28.fsa	142.42	85	493	3947	
"Y,5"	1_2_247_HpyCH4IV_2005-11-28.fsa	167.89	360	3101	4279	
"Y,6"	1_2_247_HpyCH4IV_2005-11-28.fsa	568.64	1128	22784	8930	
"Y,7"	1_2_247_HpyCH4IV_2005-11-28.fsa	588.2	121	1957	9125	
"Y,8"	1_2_247_HpyCH4IV_2005-11-28.fsa	593.88	348	11550	9181	
"Y,9"	1_2_247_HpyCH4IV_2005-11-28.fsa	600	1631	42243	9241	
"Y,10"	1_2_247_HpyCH4IV_2005-11-28.fsa	623.91	437	7606	9473	
"Y,11"	1_2_247_HpyCH4IV_2005-11-28.fsa	732.22	510	11134	10445	
"B,2"	7_34_279_BsuRI_2005-09-16.fsa	90.4	611	4687	3136	
"B,3"	7_34_279_BsuRI_2005-09-16.fsa	147.7	655	4902	3895	
"B,4"	7_34_279_BsuRI_2005-09-16.fsa	165.69	1333	10509	4125	
"B,2"	7_34_279_HpyCH4IV_2005-11-28.fsa	79.16	302	2070	3046	
"B,3"	7_34_279_HpyCH4IV_2005-11-28.fsa	107.16	798	6400	3430	
"Y,2"	7_34_279_BsuRI_2005-09-16.fsa	156.89	347	2682	4013	
"Y,3"	7_34_279_BsuRI_2005-09-16.fsa	531.85	585	7464	8387	
"Y,1"	7_34_279_HpyCH4IV_2005-11-28.fsa	53.47	88	513	2669	
"Y,2"	7_34_279_HpyCH4IV_2005-11-28.fsa	511.21	82	834	8282	
"B,2"	7_34_280_BsuRI_2005-10-03.fsa	83.61	163	1070	3107	
"B,3"	7_34_280_BsuRI_2005-10-03.fsa	90.27	7821	73855	3199	
"B,4"	7_34_280_BsuRI_2005-10-03.fsa	132.71	378	2850	3762	
"B,5"	7_34_280_BsuRI_2005-10-03.fsa	147.63	146	966	3958	
"B,17"	7_34_280_HpyCH4IV_2005-11-28.fsa	79.27	337	2300	3076	
"B,18"	7_34_280_HpyCH4IV_2005-11-28.fsa	109.13	7661	83089	3487	
"B,19"	7_34_280_HpyCH4IV_2005-11-28.fsa	111.9	6923	70864	3524	
"B,20"	7_34_280_HpyCH4IV_2005-11-28.fsa	204	67	356	4717	
"B,21"	7_34_280_HpyCH4IV_2005-11-28.fsa	457.46	186	1792	7732	
"B,22"	7_34_280_HpyCH4IV_2005-11-28.fsa	601.11	225	4534	9228	
"B,23"	7_34_280_HpyCH4IV_2005-11-28.fsa	639.07	56	462	9596	
"B,24"	7_34_280_HpyCH4IV_2005-11-28.fsa	639.5	55	421	9600	
"B,25"	7_34_280_HpyCH4IV_2005-11-28.fsa	640.97	69	726	9614	
"B,26"	7_34_280_HpyCH4IV_2005-11-28.fsa	641.4	68	540	9618	
"Y,2"	7_34_280_BsuRI_2005-10-03.fsa	77.97	187	1423	3028	
"G,2"	7_34_280_BsuRI_2005-10-03.fsa	90.34	701	3146	3200	
"Y,3"	7_34_280_BsuRI_2005-10-03.fsa	127.04	58	443	3687	
"Y,4"	7_34_280_BsuRI_2005-10-03.fsa	155.18	118	1064	4055	
"Y,5"	7_34_280_BsuRI_2005-10-03.fsa	156.76	116	1080	4075	
"Y,6"	7_34_280_BsuRI_2005-10-03.fsa	479.31	1682	30238	7858	
"Y,7"	7_34_280_BsuRI_2005-10-03.fsa	481.84	143	551	7885	
"Y,8"	7_34_280_BsuRI_2005-10-03.fsa	484.64	954	22687	7915	
"Y,9"	7_34_280_HpyCH4IV_2005-11-28.fsa	113.32	253	2096	3543	
"Y,10"	7_34_280_HpyCH4IV_2005-11-28.fsa	432.3	2005	40343	7458	
"Y,11"	7_34_280_HpyCH4IV_2005-11-28.fsa	511.51	105	1261	8311	
"Y,12"	7_34_280_HpyCH4IV_2005-11-28.fsa	520.48	2657	50805	8406	
"Y,13"	7_34_280_HpyCH4IV_2005-11-28.fsa	526	92	1291	8464	
"Y,14"	7_34_280_HpyCH4IV_2005-11-28.fsa	599.8	192	3347	9215	
"Y,15"	7_34_280_HpyCH4IV_2005-11-28.fsa	635.6	100	1629	9563	
"B,2"	7_36_303_BsuRI_2005-09-16.fsa	90.37	99	534	3163	
"B,3"	7_36_303_BsuRI_2005-09-16.fsa	109.7	114	612	3423	
"B,4"	7_36_303_BsuRI_2005-09-16.fsa	118.28	92	387	3536	
"B,5"	7_36_303_BsuRI_2005-09-16.fsa	132.77	1644	13063	3727	
"B,6"	7_36_303_BsuRI_2005-09-16.fsa	147.71	1074	8130	3924	
"B,7"	7_36_303_BsuRI_2005-09-16.fsa	440.55	81	809	7462	
"B,8"	7_36_303_BsuRI_2005-09-16.fsa	551.67	5904	83343	8630	
"Y,2"	7_36_303_BsuRI_2005-09-16.fsa	49.32	58	346	2568	
"Y,3"	7_36_303_BsuRI_2005-09-16.fsa	78.03	606	4824	2991	
"Y,4"	7_36_303_BsuRI_2005-09-16.fsa	106.01	2733	24163	3374	
"Y,5"	7_36_303_BsuRI_2005-09-16.fsa	127.11	111	769	3652	
"Y,6"	7_36_303_BsuRI_2005-09-16.fsa	155.6	130	840	4026	
"Y,7"	7_36_303_BsuRI_2005-09-16.fsa	156.85	527	4127	4042	
"G,1"	7_36_303_BsuRI_2005-09-16.fsa	551.86	55	135	8632	
"G,2"	7_36_303_BsuRI_2005-09-16.fsa	552.16	64	240	8635	
"G,3"	7_36_303_BsuRI_2005-09-16.fsa	552.45	69	415	8638	
"Y,8"	7_36_303_BsuRI_2005-09-16.fsa	662.59	168	2135	9703	
"B,2"	7_36_304_BsuRI_2005-10-03.fsa	90.21	7715	82531	3235	
"B,3"	7_36_304_BsuRI_2005-10-03.fsa	180.12	128	825	4418	
"B,4"	7_36_304_BsuRI_2005-10-03.fsa	551.77	572	8455	8715	
"B,10"	7_36_304_HpyCH4IV_2005-11-28.fsa	109.11	9279	146394	3490	
"B,11"	7_36_304_HpyCH4IV_2005-11-28.fsa	115.23	512	4136	3572	
"B,12"	7_36_304_HpyCH4IV_2005-11-28.fsa	184.94	173	1367	4483	
"B,13"	7_36_304_HpyCH4IV_2005-11-28.fsa	636.57	238	2320	9575	
"B,14"	7_36_304_HpyCH4IV_2005-11-28.fsa	639	810	24946	9598	
"B,15"	7_36_304_HpyCH4IV_2005-11-28.fsa	662.95	1445	30142	9819	
"G,2"	7_36_304_BsuRI_2005-10-03.fsa	90.35	1518	6896	3237	
"Y,1"	7_36_304_BsuRI_2005-10-03.fsa	105.97	515	4414	3449	
"Y,2"	7_36_304_BsuRI_2005-10-03.fsa	477.67	299	3272	7933	
"Y,3"	7_36_304_BsuRI_2005-10-03.fsa	479.32	2465	35254	7951	
"Y,4"	7_36_304_BsuRI_2005-10-03.fsa	481.33	1221	19722	7973	
"Y,6"	7_36_304_HpyCH4IV_2005-11-28.fsa	109.11	4116	25213	3490	
"Y,7"	7_36_304_HpyCH4IV_2005-11-28.fsa	432.88	135	1874	7479	
"Y,8"	7_36_304_HpyCH4IV_2005-11-28.fsa	462.49	127	2073	7797	
"Y,9"	7_36_304_HpyCH4IV_2005-11-28.fsa	463.75	98	484	7810	
"Y,10"	7_36_304_HpyCH4IV_2005-11-28.fsa	464.52	140	2517	7818	
"Y,11"	7_36_304_HpyCH4IV_2005-11-28.fsa	466.36	82	1125	7837	
"Y,12"	7_36_304_HpyCH4IV_2005-11-28.fsa	520.46	4625	78642	8415	
"Y,13"	7_36_304_HpyCH4IV_2005-11-28.fsa	522.46	2160	35549	8436	
"Y,14"	7_36_304_HpyCH4IV_2005-11-28.fsa	566.42	92	1009	8888	
"Y,15"	7_36_304_HpyCH4IV_2005-11-28.fsa	635.51	504	13410	9565	
"Y,16"	7_36_304_HpyCH4IV_2005-11-28.fsa	662.17	772	14973	9812	
"B,2"	3_14_307_BsuRI_2005-09-16.fsa	76.63	55	55	2959	
"B,3"	3_14_307_BsuRI_2005-09-16.fsa	132.71	478	3643	3711	
"B,4"	3_14_307_BsuRI_2005-09-16.fsa	148.09	105	581	3913	
"B,5"	3_14_307_BsuRI_2005-09-16.fsa	551.67	3442	48912	8601	
"B,2"	3_14_307_HpyCH4IV_2005-11-28.fsa	663.24	1773	40173	9913	
"Y,2"	3_14_307_BsuRI_2005-09-16.fsa	76.63	52	52	2959	
"G,1"	3_14_307_BsuRI_2005-09-16.fsa	76.63	71	71	2959	
"Y,3"	3_14_307_BsuRI_2005-09-16.fsa	77.98	161	1119	2978	
"Y,4"	3_14_307_BsuRI_2005-09-16.fsa	105.95	1780	14679	3359	
"Y,5"	3_14_307_BsuRI_2005-09-16.fsa	662.57	95	1183	9682	
"Y,2"	3_14_307_HpyCH4IV_2005-11-28.fsa	599.7	81	770	9297	
"Y,3"	3_14_307_HpyCH4IV_2005-11-28.fsa	600.1	82	946	9301	
"Y,4"	3_14_307_HpyCH4IV_2005-11-28.fsa	662.06	895	19315	9902	
"B,2"	3_14_308_BsuRI_2005-10-03.fsa	132.72	163	1078	3839	
"B,3"	3_14_308_BsuRI_2005-10-03.fsa	147.74	271	2028	4040	
"B,4"	3_14_308_BsuRI_2005-10-03.fsa	551.8	858	13227	8870	
"B,29"	3_14_308_HpyCH4IV_2005-11-28.fsa	79.28	2759	25377	3080	
"B,30"	3_14_308_HpyCH4IV_2005-11-28.fsa	234.91	63	463	5105	
"B,31"	3_14_308_HpyCH4IV_2005-11-28.fsa	235.7	62	488	5115	
"B,32"	3_14_308_HpyCH4IV_2005-11-28.fsa	594.69	307	5995	9142	
"B,33"	3_14_308_HpyCH4IV_2005-11-28.fsa	600.2	3763	84795	9196	
"B,34"	3_14_308_HpyCH4IV_2005-11-28.fsa	601.52	2827	54576	9209	
"B,35"	3_14_308_HpyCH4IV_2005-11-28.fsa	607.52	57	430	9268	
"B,36"	3_14_308_HpyCH4IV_2005-11-28.fsa	628.48	57	448	9471	
"B,37"	3_14_308_HpyCH4IV_2005-11-28.fsa	662.76	7801	113109	9792	
"B,38"	3_14_308_HpyCH4IV_2005-11-28.fsa	663.41	7779	109699	9798	
"Y,2"	3_14_308_BsuRI_2005-10-03.fsa	105.81	284	2216	3477	
"Y,3"	3_14_308_BsuRI_2005-10-03.fsa	127.15	58	365	3764	
"Y,4"	3_14_308_BsuRI_2005-10-03.fsa	156.83	169	1431	4159	
"Y,6"	3_14_308_HpyCH4IV_2005-11-28.fsa	190.09	67	503	4540	
"Y,7"	3_14_308_HpyCH4IV_2005-11-28.fsa	511.62	936	15458	8295	
"Y,8"	3_14_308_HpyCH4IV_2005-11-28.fsa	595.2	150	2074	9147	
"Y,9"	3_14_308_HpyCH4IV_2005-11-28.fsa	595.91	133	1445	9154	
"Y,10"	3_14_308_HpyCH4IV_2005-11-28.fsa	597.44	54	303	9169	
"Y,11"	3_14_308_HpyCH4IV_2005-11-28.fsa	600.61	2861	67052	9200	
"Y,12"	3_14_308_HpyCH4IV_2005-11-28.fsa	606.1	56	783	9254	
"Y,13"	3_14_308_HpyCH4IV_2005-11-28.fsa	661.66	5212	109752	9782	
"B,3"	3_14_310_BsuRI_2005-09-16.fsa	104.94	4359	36584	3382	
"B,4"	3_14_310_BsuRI_2005-09-16.fsa	106.13	4075	34610	3398	
"B,5"	3_14_310_BsuRI_2005-09-16.fsa	716.72	63	752	10313	
"B,2"	3_14_310_HpyCH4IV_2005-11-28.fsa	716.36	3075	76133	10337	
"G,1"	3_14_310_BsuRI_2005-09-16.fsa	105.09	51	329	3384	
"G,2"	3_14_310_BsuRI_2005-09-16.fsa	106.2	59	397	3399	
"Y,2"	3_14_310_BsuRI_2005-09-16.fsa	602.21	3921	57631	9249	
"Y,1"	3_14_310_HpyCH4IV_2005-11-28.fsa	711.28	1383	32406	10292	
"B,2"	3_14_311_BsuRI_2005-10-03.fsa	104.92	3177	27412	3415	
"B,3"	3_14_311_BsuRI_2005-10-03.fsa	106.04	2965	27084	3430	
"B,8"	3_14_311_HpyCH4IV_2005-11-28.fsa	715.24	8021	101837	10308	
"B,9"	3_14_311_HpyCH4IV_2005-11-28.fsa	716.04	8056	182955	10315	
"G,1"	3_14_311_BsuRI_2005-10-03.fsa	105.29	89	504	3420	
"G,2"	3_14_311_BsuRI_2005-10-03.fsa	106.42	84	551	3435	
"Y,1"	3_14_311_BsuRI_2005-10-03.fsa	601.74	2974	48018	9169	
"Y,2"	3_14_311_HpyCH4IV_2005-11-28.fsa	711.03	5980	143206	10271	
"Y,3"	3_14_311_HpyCH4IV_2005-11-28.fsa	716.04	688	4748	10315	
"B,2"	3_13_314_BsuRI_2005-09-16.fsa	132.86	434	2909	3736	
"B,3"	3_13_314_BsuRI_2005-09-16.fsa	551.83	2183	29806	8690	
"B,3"	3_13_314_HpyCH4IV_2005-11-28.fsa	599.7	53	236	9212	
"B,4"	3_13_314_HpyCH4IV_2005-11-28.fsa	734.07	7954	86678	10447	
"B,5"	3_13_314_HpyCH4IV_2005-11-28.fsa	734.77	8070	167469	10453	
"Y,2"	3_13_314_BsuRI_2005-09-16.fsa	106.03	1288	10275	3379	
"Y,3"	3_13_314_BsuRI_2005-09-16.fsa	154.89	220	1549	4026	
"Y,2"	3_13_314_HpyCH4IV_2005-11-28.fsa	598.88	84	914	9204	
"Y,3"	3_13_314_HpyCH4IV_2005-11-28.fsa	730.13	6412	132479	10413	
"Y,4"	3_13_314_HpyCH4IV_2005-11-28.fsa	734.89	1232	8749	10454	
"B,3"	3_13_315_BsuRI_2005-10-03.fsa	147.68	874	7985	4026	
"B,4"	3_13_315_BsuRI_2005-10-03.fsa	551.33	7946	144750	8844	
"B,18"	3_13_315_HpyCH4IV_2005-11-28.fsa	79.27	1567	13817	3093	
"B,19"	3_13_315_HpyCH4IV_2005-11-28.fsa	599.8	117	1511	9221	
"B,20"	3_13_315_HpyCH4IV_2005-11-28.fsa	662.77	8181	177011	9819	
"B,21"	3_13_315_HpyCH4IV_2005-11-28.fsa	663.65	7731	87811	9827	
"Y,2"	3_13_315_BsuRI_2005-10-03.fsa	105.84	5350	48223	3465	
"Y,3"	3_13_315_BsuRI_2005-10-03.fsa	156.75	537	5705	4145	
"G,2"	3_13_315_BsuRI_2005-10-03.fsa	551.51	1288	7258	8846	
"G,3"	3_13_315_BsuRI_2005-10-03.fsa	552.37	174	1906	8855	
"Y,4"	3_13_315_BsuRI_2005-10-03.fsa	662.54	206	4081	9964	
"Y,2"	3_13_315_HpyCH4IV_2005-11-28.fsa	53.86	100	591	2719	
"Y,3"	3_13_315_HpyCH4IV_2005-11-28.fsa	511.45	489	7937	8320	
"Y,4"	3_13_315_HpyCH4IV_2005-11-28.fsa	600.71	63	606	9230	
"Y,5"	3_13_315_HpyCH4IV_2005-11-28.fsa	661.34	5818	133169	9806	
"B,3"	7_32_334_BsuRI_2005-09-16.fsa	90.36	223	1454	3118	
"B,4"	7_32_334_BsuRI_2005-09-16.fsa	131.02	252	1621	3654	
"B,5"	7_32_334_BsuRI_2005-09-16.fsa	745.02	6874	134088	10348	
"B,2"	7_32_334_HpyCH4IV_2005-11-28.fsa	744.59	5641	116664	10474	
"Y,2"	7_32_334_BsuRI_2005-09-16.fsa	124.15	159	1016	3564	
"G,1"	7_32_334_BsuRI_2005-09-16.fsa	738.54	51	343	10293	
"Y,3"	7_32_334_BsuRI_2005-09-16.fsa	739.36	3737	67563	10300	
"G,2"	7_32_334_BsuRI_2005-09-16.fsa	745.85	107	1631	10355	
"Y,1"	7_32_334_HpyCH4IV_2005-11-28.fsa	738.98	2383	46904	10426	
"B,2"	7_32_335_BsuRI_2005-10-03.fsa	90.27	3385	28528	3178	
"B,3"	7_32_335_BsuRI_2005-10-03.fsa	131.05	660	5234	3719	
"B,4"	7_32_335_BsuRI_2005-10-03.fsa	744.4	837	15618	10412	
"B,8"	7_32_335_HpyCH4IV_2005-11-28.fsa	109.13	4652	46151	3493	
"B,9"	7_32_335_HpyCH4IV_2005-11-28.fsa	588.58	557	11437	9103	
"B,10"	7_32_335_HpyCH4IV_2005-11-28.fsa	636.59	639	13820	9570	
"B,11"	7_32_335_HpyCH4IV_2005-11-28.fsa	744.44	2108	50326	10530	
"G,1"	7_32_335_BsuRI_2005-10-03.fsa	90.56	69	381	3182	
"Y,2"	7_32_335_BsuRI_2005-10-03.fsa	124.15	414	3490	3628	
"Y,3"	7_32_335_BsuRI_2005-10-03.fsa	477.15	1235	19227	7844	
"Y,4"	7_32_335_BsuRI_2005-10-03.fsa	507.09	51	303	8165	
"Y,5"	7_32_335_BsuRI_2005-10-03.fsa	507.46	63	280	8169	
"Y,6"	7_32_335_BsuRI_2005-10-03.fsa	507.65	63	470	8171	
"Y,7"	7_32_335_BsuRI_2005-10-03.fsa	738.95	543	11336	10366	
"Y,2"	7_32_335_HpyCH4IV_2005-11-28.fsa	518.49	1354	23911	8387	
"Y,3"	7_32_335_HpyCH4IV_2005-11-28.fsa	588.38	310	5909	9101	
"Y,4"	7_32_335_HpyCH4IV_2005-11-28.fsa	633.53	336	6901	9541	
"Y,5"	7_32_335_HpyCH4IV_2005-11-28.fsa	738.79	938	21329	10482	
"B,2"	7_32_339_BsuRI_2005-09-16.fsa	104.88	3072	25239	3353	
"B,3"	7_32_339_BsuRI_2005-09-16.fsa	106.01	3998	33922	3368	
"B,4"	7_32_339_BsuRI_2005-09-16.fsa	347.95	1165	15798	6397	
"B,5"	7_32_339_BsuRI_2005-09-16.fsa	717.41	174	2366	10193	
"B,2"	7_32_339_HpyCH4IV_2005-11-28.fsa	347.79	1168	16272	6506	
"B,3"	7_32_339_HpyCH4IV_2005-11-28.fsa	717.03	6937	151015	10315	
"G,1"	7_32_339_BsuRI_2005-09-16.fsa	106.31	67	492	3372	
"Y,2"	7_32_339_BsuRI_2005-09-16.fsa	345.65	591	6215	6370	
"Y,3"	7_32_339_BsuRI_2005-09-16.fsa	602.34	2623	53503	9139	
"Y,1"	7_32_339_HpyCH4IV_2005-11-28.fsa	345.41	554	6343	6478	
"Y,2"	7_32_339_HpyCH4IV_2005-11-28.fsa	712.03	3123	66045	10271	
"B,3"	7_32_340_BsuRI_2005-11-14.fsa	130.95	439	3270	3802	
"B,4"	7_32_340_BsuRI_2005-11-14.fsa	147.59	356	2643	4024	
"B,5"	7_32_340_BsuRI_2005-11-14.fsa	170.99	87	442	4326	
"B,6"	7_32_340_BsuRI_2005-11-14.fsa	551.67	5919	89079	8741	
"B,3"	7_32_340_HpyCH4IV_2005-11-14.fsa	79.16	651	5317	3159	
"B,4"	7_32_340_HpyCH4IV_2005-11-14.fsa	347.13	74	539	6725	
"B,5"	7_32_340_HpyCH4IV_2005-11-14.fsa	347.61	98	600	6731	
"B,6"	7_32_340_HpyCH4IV_2005-11-14.fsa	347.85	102	382	6734	
"B,7"	7_32_340_HpyCH4IV_2005-11-14.fsa	348.25	107	609	6739	
"B,8"	7_32_340_HpyCH4IV_2005-11-14.fsa	348.56	119	3177	6743	
"B,9"	7_32_340_HpyCH4IV_2005-11-14.fsa	587.91	295	5418	9552	
"B,10"	7_32_340_HpyCH4IV_2005-11-14.fsa	663.36	7635	186245	10346	
"Y,2"	7_32_340_BsuRI_2005-11-14.fsa	105.94	2962	27459	3468	
"Y,3"	7_32_340_BsuRI_2005-11-14.fsa	124.09	253	1990	3710	
"Y,4"	7_32_340_BsuRI_2005-11-14.fsa	156.73	216	1750	4143	
"G,1"	7_32_340_BsuRI_2005-11-14.fsa	552.46	127	1525	8749	
"Y,5"	7_32_340_BsuRI_2005-11-14.fsa	662.43	163	2502	9810	
"Y,2"	7_32_340_HpyCH4IV_2005-11-14.fsa	345.85	61	213	6709	
"G,2"	7_32_340_HpyCH4IV_2005-11-14.fsa	345.93	65	405	6710	
"Y,3"	7_32_340_HpyCH4IV_2005-11-14.fsa	346.25	90	494	6714	
"G,3"	7_32_340_HpyCH4IV_2005-11-14.fsa	346.81	112	926	6721	
"Y,4"	7_32_340_HpyCH4IV_2005-11-14.fsa	347.05	147	1151	6724	
